               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  72,            0.015122,           0.0071529,           0.0010923,             0.87326,                 0.9,             0.94596,             0.86373,           0.0029702,           0.0030573,          0.00086174,            0.007657,            0.007657,            0.007657
                  73,            0.016541,           0.0071534,           0.0014663,             0.97052,             0.99288,             0.99453,             0.80522,            0.007338,           0.0032243,          0.00089951,            0.007624,            0.007624,            0.007624
                  74,            0.016545,           0.0073541,           0.0013348,             0.97131,             0.99426,               0.995,             0.80935,           0.0052398,           0.0030868,           0.0007309,            0.007591,            0.007591,            0.007591
                  75,            0.015268,           0.0072094,           0.0012622,             0.97812,             0.99815,               0.995,             0.75154,           0.0044726,           0.0029543,          0.00043713,            0.007558,            0.007558,            0.007558
                  76,            0.015801,           0.0072204,           0.0026867,             0.96997,              0.9923,             0.99453,             0.77488,           0.0053114,           0.0031704,           0.0008482,            0.007525,            0.007525,            0.007525
                  77,            0.017312,           0.0077931,           0.0013245,             0.96267,             0.96875,               0.995,             0.80055,           0.0040254,            0.003373,           0.0012435,            0.007492,            0.007492,            0.007492
                  78,            0.016732,           0.0071828,           0.0016387,             0.97076,              0.9936,               0.995,             0.81141,           0.0040617,           0.0032229,          0.00081228,            0.007459,            0.007459,            0.007459
                  79,            0.016182,           0.0072252,           0.0016764,             0.97433,             0.99541,               0.995,             0.84653,           0.0042949,           0.0030058,          0.00056121,            0.007426,            0.007426,            0.007426
                  80,            0.014069,           0.0067826,           0.0013738,             0.88669,             0.99163,             0.96167,             0.79278,           0.0039259,           0.0032155,          0.00075442,            0.007393,            0.007393,            0.007393
                  81,            0.012676,           0.0066527,           0.0011149,             0.87001,             0.89618,             0.94406,             0.74961,           0.0066072,           0.0040348,          0.00077362,             0.00736,             0.00736,             0.00736
                  82,            0.014331,           0.0069029,           0.0011919,             0.88468,             0.98208,              0.9612,             0.88546,           0.0037014,           0.0033424,          0.00071824,            0.007327,            0.007327,            0.007327
                  83,            0.014395,           0.0067167,          0.00087048,             0.97108,             0.99404,             0.99453,             0.90002,           0.0034038,           0.0025898,          0.00071265,            0.007294,            0.007294,            0.007294
                  84,            0.015671,           0.0065686,           0.0012179,             0.98709,                   1,               0.995,             0.87836,           0.0038422,           0.0029556,           0.0003486,            0.007261,            0.007261,            0.007261
                  85,             0.01314,           0.0065061,          0.00085992,             0.96996,             0.98774,               0.995,             0.80021,           0.0050058,           0.0031335,          0.00083116,            0.007228,            0.007228,            0.007228
                  86,            0.014642,           0.0065857,           0.0012158,             0.99163,                   1,               0.995,             0.90311,           0.0031008,           0.0025656,          0.00030619,            0.007195,            0.007195,            0.007195
                  87,            0.012776,           0.0063555,            0.001119,             0.98905,                   1,               0.995,             0.90078,           0.0041055,           0.0026873,          0.00023966,            0.007162,            0.007162,            0.007162
                  88,             0.01418,           0.0069006,           0.0010601,             0.98956,                   1,               0.995,             0.78952,            0.005277,           0.0029383,          0.00019744,            0.007129,            0.007129,            0.007129
                  89,            0.013008,           0.0065961,          0.00069243,             0.98782,                   1,               0.995,              0.8775,           0.0038627,           0.0026109,          0.00019395,            0.007096,            0.007096,            0.007096
                  90,            0.013855,           0.0064843,           0.0010099,             0.98666,                   1,               0.995,             0.85774,           0.0046335,           0.0028816,          0.00020911,            0.007063,            0.007063,            0.007063
                  91,            0.012196,           0.0065472,            0.001427,             0.98665,                   1,               0.995,             0.86766,           0.0034101,           0.0025833,          0.00022268,             0.00703,             0.00703,             0.00703
                  92,            0.015144,           0.0067468,           0.0021873,             0.99159,                   1,               0.995,             0.83797,           0.0032458,            0.002471,          0.00020917,            0.006997,            0.006997,            0.006997
                  93,            0.013119,           0.0064489,           0.0015057,             0.99469,              0.9994,               0.995,             0.91127,            0.002868,            0.002603,          0.00024465,            0.006964,            0.006964,            0.006964
                  94,            0.012957,           0.0068176,           0.0014835,             0.99073,                   1,               0.995,             0.81557,           0.0047117,            0.003088,          0.00024036,            0.006931,            0.006931,            0.006931
                  95,            0.013996,           0.0069838,            0.001916,             0.99358,                   1,               0.995,             0.90974,           0.0031252,           0.0028178,          0.00018972,            0.006898,            0.006898,            0.006898
                  96,            0.012723,           0.0065914,          0.00099621,             0.99386,                   1,               0.995,             0.91453,           0.0037053,           0.0030316,          0.00020994,            0.006865,            0.006865,            0.006865
                  97,            0.014261,           0.0069037,           0.0012978,             0.99217,                   1,               0.995,              0.9014,           0.0030093,           0.0029663,          0.00023607,            0.006832,            0.006832,            0.006832
                  98,            0.012645,           0.0066738,            0.001467,             0.97405,             0.99632,               0.995,             0.87644,           0.0045468,           0.0031881,          0.00058149,            0.006799,            0.006799,            0.006799
                  99,            0.014388,            0.006728,           0.0024127,             0.97144,             0.99468,               0.995,             0.82099,           0.0037527,           0.0029438,          0.00071926,            0.006766,            0.006766,            0.006766
                 100,            0.014266,           0.0071614,          0.00095637,             0.97375,             0.99586,               0.995,             0.87611,           0.0028166,           0.0026276,          0.00060374,            0.006733,            0.006733,            0.006733
                 101,            0.012422,           0.0066705,           0.0012191,             0.99319,                   1,               0.995,             0.81982,           0.0055154,           0.0032897,          0.00032984,              0.0067,              0.0067,              0.0067
                 102,            0.014361,            0.006562,          0.00091855,             0.98774,                   1,               0.995,             0.89226,           0.0029523,           0.0028342,          0.00029697,            0.006667,            0.006667,            0.006667
                 103,            0.015188,           0.0069565,           0.0014986,             0.98786,                   1,               0.995,             0.87737,            0.003295,           0.0028276,          0.00029783,            0.006634,            0.006634,            0.006634
                 104,            0.013855,           0.0064824,          0.00083956,             0.98883,                   1,               0.995,             0.85704,           0.0038026,           0.0027948,          0.00026538,            0.006601,            0.006601,            0.006601
                 105,            0.014807,           0.0067391,          0.00084109,             0.99202,                   1,               0.995,             0.83196,           0.0045097,            0.003482,          0.00023069,            0.006568,            0.006568,            0.006568
                 106,            0.014571,           0.0066412,           0.0023198,             0.99021,                   1,               0.995,             0.79224,           0.0035181,            0.003919,          0.00018803,            0.006535,            0.006535,            0.006535
                 107,            0.012579,           0.0064073,           0.0018027,             0.99077,                   1,               0.995,             0.83552,           0.0038306,           0.0038184,          0.00017325,            0.006502,            0.006502,            0.006502
                 108,            0.012509,           0.0060324,           0.0027462,             0.99167,                   1,               0.995,             0.83596,           0.0045862,           0.0032031,          0.00018276,            0.006469,            0.006469,            0.006469
                 109,            0.012672,           0.0065766,           0.0010296,             0.99429,                   1,               0.995,             0.88776,           0.0037116,           0.0029181,          0.00020787,            0.006436,            0.006436,            0.006436
                 110,            0.012924,           0.0064278,          0.00096679,             0.99235,                   1,               0.995,             0.90118,           0.0030312,           0.0026115,           0.0002279,            0.006403,            0.006403,            0.006403
                 111,            0.012474,           0.0064095,          0.00089787,             0.90965,                   1,             0.96167,             0.83805,            0.004584,           0.0031492,           0.0002257,             0.00637,             0.00637,             0.00637
                 112,            0.013528,           0.0066814,           0.0010028,             0.99906,             0.97489,               0.995,              0.8799,           0.0035686,           0.0029964,          0.00023947,            0.006337,            0.006337,            0.006337
                 113,            0.012288,           0.0060054,          0.00089824,             0.99061,             0.99683,               0.995,             0.89282,           0.0029348,           0.0029372,          0.00026121,            0.006304,            0.006304,            0.006304
